cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
29691.288988816, 29694.520556916,29694.570288554, 29845.681240678,29845.725891839, 29898.601230081,29898.649187927, 29933.458876503,29933.509035652, 29946.524491611,29946.572718480, 29954.39009660,29954.87015817, 29992.394400575,29992.443080995, 30048.701220678,30048.748749913, 30082.624569150,30082.673063467, 30083.891650109,30083.939790238, 30093.923784756,30093.969270780, 30104.764461715,30104.812447876, 30145.905139742,30145.952403826, 30222.576507973,30222.630817307, 30256.289047983
30944.250677319, 30947.540732330,30947.590992657, 31098.542649264,31098.590895424, 31151.471097071,31151.519952460, 31186.337224070,31186.387650476, 31199.398659790,31199.447811039, 31206.911511536,31206.959241373, 31245.315113758,31245.363595311, 31301.647213613,31301.694395182, 31335.573843710,31335.620386327, 31336.854093212,31336.902332852, 31346.868508566,31346.918361806, 31357.721898471,31357.781142838, 31398.828745638,31398.874392418, 31475.409242847,31475.461410354, 31509.4948756
32204.842874880, 32208.119836481,32208.169621813, 32358.973803278,32359.20671667, 32411.878585601,32411.927326159, 32446.749006047,32446.798491667, 32459.805247845,32459.854511675, 32467.309291689,32467.358991617, 32505.654532310,32505.702655610, 32561.897395418,32561.946368838, 32595.813347154,32595.861303949, 32597.92432859,32597.139157559, 32607.93992219,32607.142279473, 32617.887745896,32617.936420524, 32658.976728452,32659.25351130, 32735.472518308,32735.525488514, 32769.88945069
33482.318144291, 33485.530502890,33485.580617671, 33636.428774240,33636.476596397, 33689.391856259,33689.440977020, 33724.257378761,33724.306879843, 33737.323250978,33737.371470412, 33744.836639543,33744.885453805, 33783.213214549,33783.261404868, 33839.577415614,33839.626188488, 33873.475807135,33873.524532183, 33874.760799091,33874.808576381, 33884.698659421,33884.747942343, 33895.524480720,33895.573549358, 33936.647089226,33936.694980949, 34013.153352586,34013.205921067, 34046.741464062
34744.958783458, 34748.258211563,34748.308361673, 34899.203888973,34899.254599151, 34952.152299939,34952.201417987, 34987.3501527,34987.55199321, 34999.982357420,35000.32443141, 35007.505457110,35007.552487455, 35045.863322645,35045.911225489, 35101.903089607,35101.951817581, 35135.868379960,35135.917012781, 35137.150317638,35137.198811060, 35147.194004264,35147.242883844, 35158.50321034,35158.100825854, 35199.159702782,35199.209127656, 35275.606441850,35275.658366743, 35309.232471797
35999.121219239, 36002.352913150,36002.401967862, 36153.301093185,36153.348885089, 36206.211716644,36206.261867840, 36241.88932980,36241.138577901, 36259.950759413,36260.1332209, 36267.452443767,36267.499857163, 36305.814850890,36305.861406981, 36362.32493953,36362.80685134, 36395.958309968,36396.7154815, 36397.244813619,36397.293084022, 36407.223929753,36407.273376578, 36418.56457313,36418.103948248, 36459.159294540,36459.208520386, 36535.705065575,36535.756839237, 36569.399469353
37256.435851233, 37259.674554318,37259.723619184, 37410.897808285,37410.944605904, 37463.815669624,37463.865953692, 37498.657215972,37498.707430523, 37511.701507468,37511.750000054, 37519.213876757,37519.259393421, 37557.565663829,37557.614783880, 37613.866041456,37613.914692199, 37647.807495564,37647.855763376, 37649.67273963,37649.115295540, 37659.76833735,37659.125396100, 37669.941241065,37669.990453257, 37711.33289866,37711.82217425, 37787.461291497,37787.513508389, 37821.71952541
38544.493460696, 38547.766325160,38547.814794769, 38698.455290011,38698.501259402, 38751.278189485,38751.326366955, 38786.91285297,38786.139763990, 38799.108816272,38799.172790017, 38806.642818749,38806.689775962, 38844.946614941,38844.994716287, 38901.194434399,38901.243178037, 38935.108662212,38935.156659654, 38936.369377937,38936.415907954, 38946.363429073,38946.412531549, 38957.130019876,38957.176471171, 38998.166995919,38998.214458091, 39074.623954284,39074.676753993, 39108.189331721
39807.803368066, 39811.68482390,39811.117504145, 39961.616915244,39961.663718594, 40014.440904581,40014.489869429, 40049.211483980,40049.259445298, 40062.238514779,40062.287384336, 40069.715629213,40069.762902996, 40107.955711087,40108.1892484, 40164.191599272,40164.238779462, 40198.59151148,40198.106728567, 40199.320268670,40199.366737176, 40209.365144360,40209.412995964, 40220.147052377,40220.192833662, 40261.170348469,40261.218092634, 40337.460885463,40337.513619502, 40370.984337362
41060.465007119, 41063.974429832,41064.23410452, 41214.655942837,41214.704526581, 41267.440005795,41267.488839023, 41302.201080130,41302.249494695, 41315.249366882,41315.297233783, 41322.751430403,41322.798029114, 41361.13352032,41361.61368241, 41417.241144594,41417.288296636, 41451.97295426,41451.144522179, 41452.364997584,41452.410787100, 41462.421250417,41462.470692704, 41473.196555612,41473.243384325, 41514.170519870,41514.218530003, 41590.516374171,41590.567461796, 41624.76618693
42401.712186628, 42405.6681847,42405.52408279, 42555.724387849,42555.770628506, 42608.537432918,42608.586693865, 42643.285030221,42643.349597175, 42656.344660234,42656.391621632, 42663.835734447,42663.882901729, 42702.127314898,42702.174514420, 42758.359036605,42758.403747240, 42792.183561367,42792.232767000, 42793.475444158,42793.522382382, 42803.387715228,42803.432512777, 42814.191163617,42814.239264503, 42855.235851499,42855.283257234, 42931.605471761,42931.657227551, 42965.126927888
