cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
46758.251423034, 46760.605852228,46760.652404627, 46764.422442367,46764.470331530, 46771.882203192,46771.929812702, 46775.900351040,46775.947110033, 46777.846990880,46777.893645964, 46778.267984881,46778.314834729, 46784.126607911,46784.172880281, 46789.30035167,46789.75275072, 46792.694983560,46792.741238463, 46792.998978252,46793.46810305, 46797.152140150,46797.200501551, 46801.562075057,46801.608324271, 46807.297384933,46807.344355928, 46814.589693508,46814.638129768, 46816.106538370
48006.850101062, 48009.223533000,48009.271196361, 48013.39638522,48013.85919560, 48020.892406940,48020.940495268, 48024.809123886,48024.857032215, 48026.746201653,48026.792674114, 48027.166262263,48027.212029760, 48033.25882434,48033.73864005, 48037.934428019,48037.979625743, 48041.606211234,48041.651926141, 48041.908633616,48041.955475006, 48046.79571050,48046.126018408, 48050.456891349,48050.503358946, 48056.199319442,48056.246569341, 48063.597846082,48063.645691570, 48065.130226743
49256.175454857, 49258.579144021,49258.627398624, 49262.400693830,49262.447606163, 49270.280807600,49270.326899300, 49274.215949796,49274.263033710, 49276.157464608,49276.203636554, 49276.576677862,49276.622350468, 49282.422615409,49282.468408507, 49287.447901556,49287.494279339, 49291.121449002,49291.167239377, 49291.424598850,49291.470786145, 49295.598679474,49295.646015520, 49299.967396687,49300.14016708, 49305.699663705,49305.747388777, 49313.96489570,49313.143737035, 49314.627242271
50547.768387741, 50550.134299487,50550.182202653, 50553.994489970,50554.42050583, 50561.457854471,50561.504455712, 50565.380732222,50565.427323806, 50567.336291094,50567.382666731, 50567.757185344,50567.802231727, 50573.557365310,50573.603484520, 50578.460483753,50578.507046654, 50582.181634789,50582.227471277, 50582.480819209,50582.526928857, 50586.628213173,50586.692411182, 50590.999081756,50591.45453897, 50596.734262084,50596.787088130, 50604.132992549,50604.180986217, 50605.669812974
51805.169496143, 51807.538777470,51807.587323050, 51811.404947426,51811.453511654, 51818.868547728,51818.915844160, 51822.795387286,51822.842528933, 51824.733813384,51824.779746724, 51825.154221262,51825.199445057, 51831.19521198,51831.67330633, 51835.917853703,51835.963535692, 51839.598361985,51839.645278771, 51839.904660834,51839.951734038, 51844.173103776,51844.220437823, 51848.545405465,51848.591729986, 51854.278730018,51854.325928028, 51861.695600825,51861.743255204, 51863.276673773
53057.20805865, 53059.412322259,53059.458782882, 53063.236442231,53063.283278469, 53070.699994570,53070.746856613, 53076.568759269,53076.616362664, 53078.513900183,53078.560285842, 53078.936851066,53078.983055686, 53084.783091852,53084.830394964, 53089.653966231,53089.701224060, 53093.318337142,53093.363777609, 53093.617132116,53093.662368257, 53097.768961644,53097.817466695, 53102.133911344,53102.181146939, 53107.870320820,53107.917614580, 53115.261032709,53115.309425949, 53116.785280148
54337.911011351, 54340.289029139,54340.337352410, 54344.112619674,54344.160508145, 54351.577825400,54351.624734295, 54355.508225566,54355.556557685, 54357.462897648,54357.509359476, 54357.883730979,54357.928537543, 54363.733751294,54363.779021642, 54368.881018465,54368.926764444, 54372.674023537,54372.720033115, 54372.983156320,54373.28815290, 54377.173880812,54377.221118956, 54381.560292564,54381.605759190, 54387.302236225,54387.365446444, 54394.861322166,54394.908613778, 54396.393761550
55587.250983075, 55589.636478067,55589.692829308, 55593.486465069,55593.533087685, 55600.942488074,55600.990035512, 55604.864884746,55604.911459391, 55606.810890817,55606.856519630, 55607.230935658,55607.277084748, 55613.87236588,55613.134101426, 55619.963759441,55620.10514457, 55623.642053277,55623.687861367, 55623.943197064,55623.989972989, 55628.116246622,55628.163957312, 55632.506877186,55632.552774507, 55638.249631513,55638.296434156, 55645.640460892,55645.688798411, 55650.169134345
56841.250584044, 56843.773169209,56843.821027844, 56847.594696593,56847.641624835, 56855.51093171,56855.97378141, 56858.973839776,56859.21546399, 56860.909713185,56860.955742264, 56861.329555137,56861.374799794, 56867.151669059,56867.197072427, 56872.59675387,56872.105118945, 56875.727243341,56875.773668416, 56876.31248536,56876.79436089, 56880.175525664,56880.223059377, 56884.533195142,56884.579508815, 56890.285394221,56890.331779368, 56897.622600850,56897.671102510, 56899.145854888
58104.825058472, 58107.220848990,58107.268963521, 58111.37089033,58111.85515779, 58118.504626447,58118.551225543, 58122.478310174,58122.525074062, 58124.428750020,58124.489157327, 58124.867013367,58124.914558232, 58130.746862210,58130.792923207, 58135.602562446,58135.649248276, 58139.280848586,58139.327932645, 58139.589182780,58139.636404902, 58143.862055211,58143.910035774, 58148.276516887,58148.322684269, 58154.8794940,58154.57684701, 58161.381515666,58161.429433365, 58162.914996065
59356.564791982, 59358.937880581,59358.983819754, 59362.758065404,59362.803834848, 59370.215978050,59370.263791699, 59374.160247185,59374.207714533, 59376.114910595,59376.160713346, 59376.533879606,59376.579009440, 59382.387207938,59382.434844314, 59387.418210756,59387.466697683, 59391.86073417,59391.132714332, 59391.389279160,59391.435176084, 59395.559052610,59395.607269626, 59399.935359481,59399.981913260, 59405.676830437,59405.723659023, 59413.66996620,59413.115482773, 59414.580778680
60610.412208674, 60612.778128516,60612.824638877, 60616.598666591,60616.645695448, 60624.55746928,60624.104017762, 60627.991874259,60628.39226734, 60629.943811263,60629.991560251, 60630.364599956,60630.410541328, 60636.296197030,60636.343105214, 60641.164410140,60641.211042352, 60644.838403534,60644.884812272, 60645.142592890,60645.189155679, 60649.314301354,60649.360680771, 60653.658603837,60653.704415666, 60659.402477200,60659.460833106, 60666.742588540,60666.790838890, 60668.279258363
61859.999849244, 61862.380297348,61862.427031876, 61866.203344823,61866.250789668, 61873.657359234,61873.704814275, 61877.588315402,61877.635717253, 61879.533673687,61879.592396352, 61879.966801629,61880.13669569, 61885.791168009,61885.839438013, 61891.69802033,61891.116729478, 61894.976261387,61895.23745587, 61895.278613591,61895.325346132, 61899.457692852,61899.505069584, 61903.873279879,61903.919690004, 61909.612400858,61909.659333776, 61916.989883226,61917.39111222, 61918.544468763
63110.265969283, 63112.643633241,63112.690655211, 63116.470564644,63116.517185976, 63123.934445063,63123.979952153, 63127.861733142,63127.908315616, 63129.810876115,63129.857541783, 63130.237499631,63130.283474868, 63136.89134268,63136.135533072, 63141.1307499,63141.46919205, 63144.687382769,63144.732572397, 63144.986699510,63145.33171949, 63149.157209574,63149.204601516, 63153.546248012,63153.592431094, 63160.605929257,63160.652851927, 63167.931864377,63167.979633851, 63169.505368296
64361.651977879, 64364.13019836,64364.60779072, 64367.836817237,64367.883420176, 64375.775074109,64375.823474815, 64379.691409630,64379.738782792, 64381.642235673,64381.712441631, 64382.86884113,64382.132936417, 64387.940592268,64387.990933284, 64392.835034700,64392.881245491, 64396.555086483,64396.600214006, 64396.855335822,64396.900573205, 64401.26911299,64401.74339581, 64406.105893839,64406.150640181, 64411.843182513,64411.890044685, 64419.508353314,64419.556537899, 64421.25207775
65617.388586887, 65619.782759641,65619.831384767, 65623.605637281,65623.652475870, 65631.59558249,65631.105217145, 65634.987203653,65635.34793522, 65636.941076141,65636.987906311, 65637.364561765,65637.410634582, 65643.229755506,65643.275001886, 65657.360308617,65657.406101689, 65661.49005672,65661.94860364, 65661.350326388,65661.396573663, 65665.524033568,65665.571298809, 65669.888155808,65669.933330403, 65675.644843798,65675.691945120, 65682.970438096,65683.18186694, 65684.477988913
66887.711597839, 66890.78527689,66890.126785003, 66893.899066649,66893.946904538, 66901.360543260,66901.409155821, 66906.982469395,66907.28795998, 66908.925875067,66908.973375564, 66910.266240875,66910.311830849, 66916.119415875,66916.164679858, 66921.30415464,66921.77203410, 66924.710465106,66924.767324263, 66925.21574376,66925.69220564, 66929.195937315,66929.243602120, 66933.559350369,66933.606999090, 66939.300313301,66939.347070393, 66946.668392896,66946.715787933, 66948.204122802
68141.479293444, 68143.819869489,68143.866540428, 68147.636362273,68147.683289974, 68155.360495461,68155.427497022, 68159.298374669,68159.344785269, 68161.247751919,68161.293125487, 68161.667536223,68161.713380673, 68167.643253788,68167.690187599, 68172.547919513,68172.593743891, 68176.240746631,68176.286342805, 68176.541546403,68176.588316089, 68180.698325918,68180.744822020, 68185.79276664,68185.126439058, 68190.858671079,68190.905499721, 68198.236794303,68198.283891668, 68199.763852130
69392.436881738, 69394.833638383,69394.882150005, 69404.87213674,69404.134295730, 69458.704792804,69458.753079935, 69462.638643521,69462.685798289, 69469.660448603,69469.706649344, 69470.81456728,69470.126631153, 69476.225242533,69476.270799487, 69481.115445607,69481.161961141, 69484.872390269,69484.919344486, 69485.179702045,69485.226843430, 69493.801340499,69493.848684396, 69498.204766523,69498.264808185, 69503.960258377,69504.7575990, 69511.301424670,69511.349358826, 69512.888229141
70727.831157203, 70730.189630652,70730.236723798, 70734.13246332,70734.61105533, 70741.471973312,70741.519204818, 70747.482095623,70747.529559857, 70749.432839430,70749.479137511, 70749.853508509,70749.898761915, 70755.680561613,70755.726218790, 70760.547689092,70760.594843192, 70764.233687315,70764.279938491, 70764.534305067,70764.581070439, 70782.296617787,70782.344534555, 70786.647962689,70786.695007121, 70792.391797267,70792.438978001, 70800.850439903,70800.898349678, 70802.379762394
72034.706462123, 72037.75466651,72037.122987653, 72040.901072105,72040.947402524, 72048.360744875,72048.407995563, 72052.280895398,72052.328787975, 72054.332505109,72054.382853001, 72054.756436371,72054.801659382, 72060.937285106,72060.982718727, 72065.835313303,72065.880824777, 72069.507551229,72069.553300722, 72069.804514415,72069.850022894, 72073.963659532,72074.11079662, 72078.327748736,72078.373535487, 72084.66089852,72084.112404847, 72091.683558793,72091.731994021, 72093.199877281
73285.68591696, 73287.429547970,73287.476898058, 73291.252049086,73291.298010868, 73298.706535554,73298.753642891, 73302.853017980,73302.899819826, 73304.805103631,73304.850668303, 73305.224750079,73305.270112285, 73311.91690671,73311.138207218, 73356.711147546,73356.755754000, 73360.661285636,73360.707619110, 73360.964735543,73361.11093351, 73373.533620902,73373.580853387, 73377.919822670,73377.965303908, 73383.662453743,73383.709601967, 73391.30562518,73391.78613185, 73392.561053771
74591.101316287, 74593.442296739,74593.492164389, 74597.262470423,74597.309530292, 74604.717586701,74604.765265805, 74608.645362706,74608.690725859, 74610.578141019,74610.623766040, 74610.997942539,74611.44446388, 74616.838240733,74616.884981586, 74621.738245315,74621.783497666, 74625.412712540,74625.458336192, 74625.711458832,74625.756492201, 74629.870916117,74629.918479063, 74634.224000114,74634.269768583, 74639.966778887,74640.13173831, 74647.295532881,74647.344332094, 74648.831530149
75876.424577294, 75878.788621579,75878.835913369, 75882.630450916,75882.676625702, 75890.110290874,75890.157103783, 75894.34747415,75894.89474260, 75895.989357767,75896.36325557, 75896.409097975,75896.455568482, 75902.261200668,75902.308019080, 75907.409615793,75907.455593158, 75911.106127412,75911.151658481, 75911.404596065,75911.450565122, 75915.624129747,75915.671801115, 75919.993432770,75920.39814524, 75925.729467837,75925.775441033, 75933.84209834,75933.132016679, 75934.602704348
77170.499781293, 77172.897874886,77172.947665987, 77176.704359631,77176.751346196, 77184.345709037,77184.392849620, 77189.922788968,77189.981538367, 77191.878615327,77191.923947157, 77192.298523942,77192.346276717, 77198.129281196,77198.175625530, 77203.30421691,77203.76979724, 77206.705972389,77206.752691852, 77207.7507930,77207.54918846, 77211.184880620,77211.231999701, 77215.587823055,77215.634230258, 77221.323680528,77221.371249627, 77228.677953811,77228.725418726, 77230.268286498
78421.311371166, 78423.663333209,78423.710945895, 78427.482647971,78427.529148419, 78434.936416373,78434.983381014, 78438.949089571,78438.995619526, 78440.904530557,78440.950743268, 78441.325400812,78441.371646167, 78447.486972892,78447.532410153, 78452.370049520,78452.415406793, 78456.40859471,78456.86369922, 78456.338655996,78456.384294374, 78460.512331190,78460.559476102, 78464.860732167,78464.910499388, 78472.8131212,78472.54702662, 78479.385920801,78479.433847639, 78480.908433564
